日期时间,任务耗时,设置相机曝光_运行时间,设置相机曝光_运行结果,读位置编号_电芯拍照.位置编号,读位置编号_电芯拍照.拍照X,读位置编号_电芯拍照.拍照Y,读位置编号_电芯拍照.拍照Z,读位置编号_运行时间,读位置编号_运行结果,图像采集_运行时间,图像采集_运行结果,模板匹配_原点X,模板匹配_定位点Y,模板匹配_结果X,模板匹配_结果Y,模板匹配_角度,模板匹配_分数,模板匹配_运行时间,模板匹配_运行结果,图像校正_运行时间,图像校正_运行结果,极性识别_最大面积,极性识别_总面积,极性识别_运行时间,极性识别_运行结果,计算赋值_电芯拍照.拍照位置.X,计算赋值_电芯拍照.拍照位置.Y,计算赋值_电芯拍照.定位结果,计算赋值_电芯拍照.人工提示消息,计算赋值_电芯拍照.写入结果,计算赋值_电芯拍照.圆心.X,计算赋值_电芯拍照.圆心.Y,计算赋值_运行时间,计算赋值_运行结果,写结果_运行时间,写结果_运行结果,人工定位点_运行时间,人工定位点_运行结果,转机械坐标_运行时间,转机械坐标_运行结果,保存坐标_全局.定位坐标[[电芯拍照.位置编号]],保存坐标_全局.上个极柱像素坐标,保存坐标_电芯拍照.写入结果,保存坐标_全局.定位电芯坐标[[电芯拍照.位置编号]],保存坐标_运行时间,保存坐标_运行结果,验证坐标_电芯拍照.写入结果,验证坐标_运行时间,验证坐标_运行结果,写最终结果_运行时间,写最终结果_运行结果
2026-04-15 16:25:39:994,8554,11.943,Ok,0,0,0,126196,121.4525,Ok,80.2719,Ok,1523,1018,0,0,0,0,87.4521,Ng,5.0413,Ok,87650,96074,0,Disable,0.000000,0.000000,False,点击图片 确定定位中心;选择点后 可修改位置!,4,1523.000000,1018.000000,54.6509,Ok,23.2421,Ok,8110.6259,Ok,5.308,Ok,120.20678983215589 16.009460519893082,1960 1194,2,120.20678983215589 16.009460519893082,11.3674,Ok,2,4.3854,Ng,26.0109,Ok
2026-04-15 16:26:36:964,4970,10.2623,Ok,0,0,0,126196,109.8351,Ok,78.4971,Ok,1523,1018,0,0,0,0,90.5137,Ng,6.4361,Ok,87650,96074,0,Disable,0.000000,0.000000,False,点击图片 确定定位中心;选择点后 可修改位置!,4,1523.000000,1018.000000,2.7649,Ok,22.0684,Ok,4615.7241,Ng,0.1497,Ok,125.48342656904012 3.131252494049818,1523 1018,2,125.48342656904012 3.131252494049818,1.0923,Ok,2,0.3294,Ng,21.4968,Ok
