日期时间,任务耗时,设置相机曝光_运行时间,设置相机曝光_运行结果,读位置编号_MARK拍照.位置编号,读位置编号_MARK拍照.拍照X,读位置编号_MARK拍照.拍照Y,读位置编号_MARK拍照.拍照Z,读位置编号_运行时间,读位置编号_运行结果,图像采集_运行时间,图像采集_运行结果,模板匹配_原点X,模板匹配_定位点Y,模板匹配_结果X,模板匹配_结果Y,模板匹配_角度,模板匹配_分数,模板匹配_运行时间,模板匹配_运行结果,计算赋值_MARK拍照.拍照位置.X,计算赋值_MARK拍照.拍照位置.Y,计算赋值_MARK拍照.定位结果,计算赋值_MARK拍照.写入结果,计算赋值_MARK拍照.保存编号,计算赋值_运行时间,计算赋值_运行结果,写结果_运行时间,写结果_运行结果,人工定位点_运行时间,人工定位点_运行结果,转机械坐标_运行时间,转机械坐标_运行结果,保存坐标_全局.定位坐标[[MARK拍照.保存编号]],保存坐标_全局.定位Mark点坐标表[[MARK拍照.位置编号]],保存坐标_运行时间,保存坐标_运行结果,写最终结果_运行时间,写最终结果_运行结果
2026-04-15 17:01:15:883,57360,6.3789,Ok,0,0,0,126196,162.2741,Ok,77.9942,Ok,1526.5,997.5,0,0,0,0,34.5774,Ng,0.000000,0.000000,False,4,1000,5.5818,Ok,33.1974,Ok,57001.3544,Ok,0.0808,Ok,119.82386982528578 15.76942032750236,119.82386982528578 15.76942032750236,0.774,Ok,31.2964,Ok
2026-04-15 17:02:03:989,5742,10.4881,Ok,0,0,0,126196,100.0612,Ok,80.6477,Ok,1526.5,997.5,0,0,0,0,41.7697,Ng,0.000000,0.000000,False,4,1000,1.8472,Ok,21.4097,Ok,5440.1411,Ng,0.3191,Ok,126.08880801340447 3.240181422104854,126.08880801340447 3.240181422104854,0.8442,Ok,36.7677,Ok
