日期时间,任务耗时,设置相机曝光_运行时间,设置相机曝光_运行结果,读位置编号_电芯拍照.位置编号,读位置编号_电芯拍照.拍照X,读位置编号_电芯拍照.拍照Y,读位置编号_电芯拍照.拍照Z,读位置编号_运行时间,读位置编号_运行结果,图像采集_运行时间,图像采集_运行结果,模板匹配_原点X,模板匹配_定位点Y,模板匹配_结果X,模板匹配_结果Y,模板匹配_角度,模板匹配_分数,模板匹配_运行时间,模板匹配_运行结果,图像校正_运行时间,图像校正_运行结果,极性识别_最大面积,极性识别_总面积,极性识别_运行时间,极性识别_运行结果,计算赋值_电芯拍照.拍照位置.X,计算赋值_电芯拍照.拍照位置.Y,计算赋值_电芯拍照.定位结果,计算赋值_电芯拍照.人工提示消息,计算赋值_电芯拍照.写入结果,计算赋值_电芯拍照.圆心.X,计算赋值_电芯拍照.圆心.Y,计算赋值_运行时间,计算赋值_运行结果,写结果_运行时间,写结果_运行结果,人工定位点_运行时间,人工定位点_运行结果,转机械坐标_运行时间,转机械坐标_运行结果,保存坐标_全局.定位坐标[[电芯拍照.位置编号]],保存坐标_全局.上个极柱像素坐标,保存坐标_电芯拍照.写入结果,保存坐标_全局.定位电芯坐标[[电芯拍照.位置编号]],保存坐标_运行时间,保存坐标_运行结果,验证坐标_电芯拍照.写入结果,验证坐标_运行时间,验证坐标_运行结果,写最终结果_运行时间,写最终结果_运行结果
2026-04-15 16:57:14:430,6802,12.2202,Ok,0,0,0,126196,193.1137,Ok,80.8822,Ok,1523,1018,0,0,0,0,47.6507,Ng,4.7366,Ok,87650,96074,0,Disable,0.000000,0.000000,False,点击图片 确定定位中心;选择点后 可修改位置!,4,1523.000000,1018.000000,55.3268,Ok,42.5983,Ok,6263.9481,Ng,3.3828,Ok,125.48342656904012 3.131252494049818,1523 1018,2,125.48342656904012 3.131252494049818,20.0007,Ok,2,4.9656,Ng,62.0393,Ok
2026-04-15 17:00:01:492,22561,5.1616,Ok,0,0,0,126196,158.2228,Ok,73.1985,Ok,1523,1018,0,0,0,0,89.541,Ng,5.0363,Ok,87650,96074,0,Disable,0.000000,0.000000,False,点击图片 确定定位中心;选择点后 可修改位置!,4,1523.000000,1018.000000,3.4559,Ok,45.002,Ok,22138.8521,Ok,0.1193,Ok,121.15405901422346 15.781302891201051,1952 1162,2,121.15405901422346 15.781302891201051,1.0811,Ok,2,0.2524,Ng,33.145,Ok
